interview__key,tipo_muestra
59-27-56-34,-9
09-87-40-32,1
10-11-50-52,-9
37-56-76-77,-9
82-43-98-24,-9
74-54-53-20,-9
65-00-36-28,-9
66-42-72-75,-9
77-49-45-62,-9
93-60-50-11,-9
94-57-83-48,-9
78-93-30-78,-9
92-51-67-17,-9
68-08-74-56,-9
04-40-59-26,-9
82-33-24-48,-9
95-60-61-01,-9
78-50-82-50,-9
15-30-86-94,-9
16-29-86-25,1
28-75-20-47,-9
84-38-95-82,1
83-48-97-42,-9
55-59-37-19,1
07-64-20-36,-9
72-72-37-21,1
90-65-79-05,-9
09-45-13-29,1
56-22-99-93,-9
95-45-27-05,1
68-38-57-30,-9
43-74-87-00,1
85-92-24-21,-9
02-95-77-44,1
21-32-91-99,-9
99-49-12-79,1
39-05-86-08,-9
22-99-81-88,1
79-42-34-26,-9
99-48-88-94,1
90-93-12-05,-9
32-16-51-88,1
20-32-28-57,-9
82-19-88-18,1
70-88-08-62,-9
01-80-91-13,1
64-62-58-08,-9
62-61-00-60,1
89-47-43-06,-9
61-14-93-48,-9
84-22-61-48,1
56-72-61-15,-9
77-85-26-01,-9
99-22-48-56,1
83-16-24-66,1
86-59-00-16,1
