interview__key,encuesta,idencuesta
39-01-91-47,17720705012.0,17720705012.0
86-14-43-38,17780211022.0,17780211022.0
62-96-18-17,17780211023.0,17780211023.0
60-97-92-93,17540202043.0,17540202043.0
62-46-79-20,17540202103.0,17540202103.0
75-17-74-58,17740507032.0,17740507032.0
45-43-12-68,17750303072.0,17750303072.0
33-63-65-52,18740202032.0,18740202032.0
86-36-38-37,18810408012.0,18810408012.0
86-00-80-21,18870104092.0,18870104092.0
82-79-75-47,18870208102.0,18870208102.0
42-82-96-81,18720506082.0,18720506082.0
56-56-06-08,17810101042.0,17810101042.0
65-61-28-63,18740507072.0,18740507072.0
34-58-83-62,17820704112.0,17820704112.0
11-16-41-61,17880213062.0,17880213062.0
